,"761,-21.0"
500,"1271757,3.0"
501,"1274547,-5.0"
502,"1277140,9.0"
503,"1279618,11.0"
504,"1282239,11.0"
505,"1284929,7.0"
506,"1287233,13.0"
507,"1290026,11.0"
508,"1292524,11.0"
509,"1294996,11.0"
510,"1297989,-6.0"
511,"1300948,-3.0"
512,"1303978,8.0"
513,"1306841,10.0"
514,"1309637,5.0"
515,"1312237,9.0"
516,"1314752,12.0"
517,"1317135,14.0"
518,"1320081,6.0"
519,"1322882,6.0"
520,"1325668,7.0"
521,"1328535,5.0"
522,"1331217,9.0"
523,"1333867,9.0"
524,"1335980,16.0"
525,"1338856,6.0"
526,"1341348,10.0"
527,"1344371,7.0"
528,"1346519,14.0"
529,"1349460,6.0"
530,"1352092,9.0"
531,"1354880,5.0"
532,"1357125,13.0"
533,"1359528,10.0"
534,"1362235,6.0"
535,"1364747,10.0"
536,"1367648,8.0"
537,"1370862,5.0"
538,"1373329,8.0"
539,"1375951,8.0"
540,"1378753,6.0"
541,"1380929,13.0"
542,"1383652,7.0"
543,"1385883,13.0"
544,"1388244,12.0"
545,"1390621,11.0"
546,"1393406,9.0"
547,"1395674,15.0"
548,"1397960,14.0"
549,"1400513,9.0"
550,"1403684,4.0"
551,"1407015,6.0"
552,"1410105,5.0"
553,"1412878,10.0"
554,"1415390,15.0"
555,"1418395,4.0"
556,"1421269,8.0"
557,"1423929,8.0"
558,"1426868,1.0"
559,"1429209,11.0"
560,"1431703,4.0"
561,"1434090,10.0"
562,"1436949,7.0"
563,"1439665,8.0"
564,"1442180,10.0"
565,"1445012,4.0"
566,"1447808,8.0"
567,"1450606,7.0"
568,"1453468,11.0"
569,"1455745,14.0"
570,"1459044,3.0"
571,"1461043,17.0"
572,"1463602,11.0"
573,"1466945,-1.0"
574,"1468919,-10.0"
575,"1471042,15.0"
576,"1473487,10.0"
577,"1475770,13.0"
578,"1478616,5.0"
579,"1481743,1.0"
580,"1484222,9.0"
581,"1486808,11.0"
582,"1489083,13.0"
583,"1491334,13.0"
584,"1493844,12.0"
585,"1496510,9.0"
586,"1499720,5.0"
587,"1502712,2.0"
588,"1505165,10.0"
589,"1508073,6.0"
590,"1511211,7.0"
591,"1513435,15.0"
592,"1515839,13.0"
593,"1518209,15.0"
594,"1521467,1.0"
595,"1523801,15.0"
596,"1526274,13.0"
597,"1529103,7.0"
598,"1531951,6.0"
599,"1534734,5.0"
600,"1537363,12.0"
601,"1540081,8.0"
602,"1542687,10.0"
603,"1545126,12.0"
604,"1547573,8.0"
605,"1550143,9.0"
606,"1552369,13.0"
607,"1554680,13.0"
608,"1557091,11.0"
609,"1559917,5.0"
610,"1562308,12.0"
611,"1565083,6.0"
612,"1567742,8.0"
613,"1570623,6.0"
614,"1573523,8.0"
615,"1576524,-2.0"
616,"1578687,13.0"
617,"1580864,16.0"
618,"1583680,6.0"
619,"1586317,10.0"
620,"1589281,6.0"
621,"1591561,15.0"
622,"1593601,17.0"
623,"1596173,7.0"
624,"1598873,14.0"
625,"1601632,8.0"
626,"1604161,9.0"
627,"1606120,17.0"
628,"1609060,8.0"
629,"1611541,10.0"
630,"1614089,10.0"
631,"1616471,12.0"
632,"1619325,7.0"
633,"1621957,13.0"
634,"1624266,13.0"
635,"1626446,13.0"
636,"1629039,10.0"
637,"1631659,8.0"
638,"1633659,17.0"
639,"1636499,6.0"
640,"1639497,5.0"
641,"1641659,15.0"
642,"1643709,15.0"
643,"1646204,11.0"
644,"1648909,8.0"
645,"1651092,14.0"
646,"1653298,13.0"
647,"1656095,5.0"
648,"1657979,16.0"
649,"1660345,11.0"
650,"1662877,11.0"
651,"1665690,9.0"
652,"1668827,7.0"
653,"1671458,12.0"
654,"1674601,-2.0"
655,"1676749,13.0"
656,"1679059,13.0"
657,"1681009,16.0"
658,"1683135,15.0"
659,"1686528,2.0"
660,"1688625,17.0"
661,"1690650,17.0"
662,"1692899,13.0"
663,"1695520,11.0"
664,"1698266,7.0"
665,"1700269,17.0"
666,"1702651,12.0"
667,"1704949,12.0"
668,"1707554,8.0"
669,"1710233,10.0"
670,"1713122,7.0"
671,"1715855,6.0"
672,"1718270,10.0"
673,"1721092,8.0"
674,"1723810,10.0"
675,"1725886,15.0"
676,"1728763,3.0"
677,"1731240,11.0"
678,"1733755,13.0"
679,"1736188,13.0"
680,"1738415,16.0"
681,"1741231,3.0"
682,"1743452,11.0"
683,"1746023,7.0"
684,"1749055,5.0"
685,"1751510,11.0"
686,"1754079,7.0"
687,"1756785,7.0"
688,"1759825,4.0"
689,"1762915,8.0"
690,"1765779,8.0"
691,"1768064,12.0"
692,"1770150,14.0"
693,"1772877,7.0"
694,"1775513,6.0"
695,"1778027,10.0"
696,"1780833,5.0"
697,"1783615,8.0"
698,"1786437,7.0"
699,"1788531,17.0"
700,"1790851,14.0"
701,"1793189,12.0"
702,"1795883,7.0"
703,"1798485,12.0"
704,"1800993,10.0"
705,"1803915,9.0"
706,"1806809,5.0"
707,"1809531,9.0"
708,"1812619,5.0"
709,"1815595,8.0"
710,"1818046,13.0"
711,"1819895,19.0"
712,"1822636,7.0"
713,"1825398,9.0"
714,"1828297,4.0"
715,"1830421,-10.0"
716,"1832860,11.0"
717,"1835465,11.0"
718,"1838390,9.0"
719,"1841039,9.0"
720,"1844700,3.0"
721,"1847696,7.0"
722,"1850413,6.0"
723,"1853658,9.0"
724,"1855918,15.0"
725,"1858530,8.0"
726,"1861411,7.0"
727,"1864258,10.0"
728,"1866723,12.0"
729,"1869311,7.0"
730,"1871729,13.0"
731,"1873930,14.0"
732,"1876009,15.0"
733,"1878905,5.0"
734,"1881194,14.0"
735,"1883481,11.0"
736,"1886094,8.0"
737,"1888466,13.0"
738,"1891191,7.0"
739,"1893337,15.0"
740,"1896070,7.0"
741,"1898377,14.0"
742,"1901220,11.0"
743,"1903845,10.0"
744,"1906508,4.0"
745,"1909316,11.0"
746,"1911865,10.0"
747,"1915022,4.0"
748,"1917597,-4.0"
749,"1920320,6.0"
750,"1922815,9.0"
751,"1925258,-4.0"
752,"1928248,9.0"
753,"1930839,9.0"
754,"1933831,-3.0"
755,"1936464,9.0"
756,"1939104,-5.0"
757,"1941440,15.0"
758,"1944222,9.0"
759,"1947047,5.0"
760,"1949545,11.0"
761,"1951953,13.0"
762,"1954183,15.0"
763,"1957083,11.0"
764,"1959797,9.0"
765,"1961916,19.0"
766,"1964865,9.0"
767,"1967773,9.0"
768,"1969973,15.0"
769,"1972048,16.0"
770,"1974694,6.0"
771,"1977359,13.0"
772,"1980310,5.0"
773,"1983284,6.0"
774,"1985982,12.0"
775,"1988070,16.0"
776,"1990354,11.0"
777,"1992878,8.0"
778,"1994912,16.0"
779,"1997258,13.0"
